Name,Attendance,Feedback,Leave,Overtime(hours),Education level,Flexibility,Punctuality,Team Work,Presentation Skills,Meets Deadline,Rating
7,26,3,0,0,2,2,1,1,2,1,1
7,26,7,0,0,2,1,2,1,4,1,2
7,26,2,0,0,2,2,3,1,1,5,2
7,26,10,0,0,2,5,1,5,5,1,3
7,26,10,0,0,2,3,3,4,3,5,3
7,26,7,0,0,2,2,4,2,1,3,2
7,26,3,0,0,2,3,3,1,2,1,2
7,26,8,0,0,2,4,3,2,4,3,3
7,26,1,0,0,2,5,5,5,1,2,2
7,26,4,0,0,2,3,3,4,3,2,3
7,26,10,0,0,2,1,1,4,4,3,3
7,26,6,0,0,2,5,1,5,5,1,3
7,26,2,0,0,2,4,5,1,1,4,2
7,26,9,0,0,2,5,2,2,4,1,3
7,26,6,0,0,2,4,1,5,3,5,3
7,26,3,0,0,2,1,3,2,2,1,2
7,26,8,0,0,2,4,4,3,5,5,4
7,26,2,0,0,2,1,3,1,3,2,2
7,26,8,0,0,2,4,5,4,4,4,4
7,26,6,0,0,2,3,3,4,3,2,3
7,26,3,0,0,2,4,3,1,2,2,2
7,17,6,13,0,2,3,4,1,2,2,2
7,26,6,0,0,2,2,2,1,2,1,2
7,26,5,0,0,2,4,3,2,3,4,3
7,26,9,0,21,2,1,5,2,5,5,4
7,26,4,0,1,2,5,1,2,5,4,3
7,26,2,0,10,2,1,1,2,1,4,2
7,26,8,0,19,2,1,5,2,4,5,4
7,26,6,0,24,2,5,2,4,5,4,4
7,26,3,0,27,2,3,5,5,3,1,3
7,26,7,0,15,2,2,1,5,4,2,3
7,26,7,0,21,2,2,4,2,5,4,3
7,26,7,0,9,2,1,5,5,1,3,3
7,26,8,0,21,2,3,1,5,3,5,3
7,26,2,0,11,3,2,3,1,3,4,2
7,26,8,0,27,3,2,5,5,1,3,3
7,26,3,0,14,3,2,5,2,4,3,3
7,26,5,0,0,3,1,5,1,2,5,3
7,26,10,0,0,3,4,1,3,4,1,3
7,26,7,14,0,3,5,5,4,3,4,4
7,26,8,8,0,3,4,1,2,1,3,2
7,26,9,9,0,3,3,5,1,5,2,4
7,26,1,7,0,3,5,1,1,2,2,2
7,26,9,0,0,3,1,4,2,4,1,3
7,26,8,0,0,3,5,1,1,5,2,3
7,26,8,0,0,3,4,4,4,5,2,4
7,26,10,0,0,3,4,4,5,4,2,4
7,26,2,0,0,3,3,1,1,3,4,2
7,26,6,0,0,3,3,2,3,4,2,3
7,26,7,0,0,3,1,3,5,4,1,3
7,26,8,0,0,3,3,5,1,3,4,3
7,26,1,0,0,3,5,1,1,2,3,2
7,26,6,0,0,3,2,4,5,5,3,3
7,26,6,0,0,3,4,3,2,4,2,3
7,26,1,0,0,3,5,5,3,3,1,3
7,26,1,0,18,3,2,2,3,1,4,2
7,26,4,0,2,3,5,3,3,5,3,3
7,26,4,0,5,3,4,1,5,2,2,3
7,26,9,0,11,3,5,3,5,3,4,4
